"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2012","81.216","81.210","81.325","81.120","4.73K","0.00%"
"08/31/2012","81.216","81.700","81.740","80.960","24.48K","-0.61%"
"08/30/2012","81.713","81.570","81.780","81.410","12.38K","0.18%"
"08/29/2012","81.564","81.365","81.605","81.350","11.04K","0.22%"
"08/28/2012","81.381","81.700","81.840","81.275","12.83K","-0.38%"
"08/27/2012","81.691","81.615","81.730","81.505","9.52K","0.11%"
"08/24/2012","81.603","81.390","81.750","81.365","15.49K","0.30%"
"08/23/2012","81.359","81.480","81.535","81.220","22.21K","-0.17%"
"08/22/2012","81.497","81.900","82.135","81.470","26.96K","-0.52%"
"08/21/2012","81.920","82.485","82.510","81.805","27.41K","-0.70%"
"08/20/2012","82.500","82.560","82.765","82.435","11.08K","-0.20%"
"08/17/2012","82.663","82.445","82.825","82.380","15.87K","0.30%"
"08/16/2012","82.417","82.695","82.960","82.375","19.64K","-0.36%"
"08/15/2012","82.711","82.595","82.845","82.510","12.11K","0.22%"
"08/14/2012","82.527","82.525","82.615","82.250","15.66K","0.05%"
"08/13/2012","82.486","82.640","82.765","82.285","13.10K","-0.18%"
"08/10/2012","82.631","82.700","82.945","82.500","16.66K","-0.10%"
"08/09/2012","82.710","82.355","82.865","82.270","17.79K","0.33%"
"08/08/2012","82.439","82.375","82.570","82.295","15.85K","0.23%"
"08/07/2012","82.250","82.330","82.425","82.065","16.55K","-0.07%"
"08/06/2012","82.304","82.405","82.625","82.125","15.13K","-0.17%"
"08/03/2012","82.446","83.430","83.470","82.360","24.43K","-1.20%"
"08/02/2012","83.451","83.170","83.610","82.225","37.92K","0.33%"
"08/01/2012","83.178","82.780","83.270","82.540","20.04K","0.57%"
"07/31/2012","82.710","82.865","82.935","82.560","14.74K","-0.19%"
"07/30/2012","82.868","82.755","83.045","82.730","13.97K","0.12%"
"07/27/2012","82.765","82.930","83.065","82.400","34.35K","-0.11%"
"07/26/2012","82.859","83.755","83.850","82.660","35.68K","-0.93%"
"07/25/2012","83.641","84.135","84.175","83.625","18.75K","-0.60%"
"07/24/2012","84.145","83.835","84.245","83.760","18.64K","0.39%"
"07/23/2012","83.815","83.750","84.140","83.720","22.95K","0.29%"
"07/20/2012","83.573","83.015","83.665","82.975","22.20K","0.71%"
"07/19/2012","82.980","83.105","83.255","82.800","18.93K","-0.26%"
"07/18/2012","83.196","83.120","83.460","83.045","14.57K","0.03%"
"07/17/2012","83.168","83.260","83.690","83.030","19.75K","-0.06%"
"07/16/2012","83.218","83.400","83.770","83.130","15.63K","-0.31%"
"07/13/2012","83.474","83.855","83.935","83.380","23.23K","-0.40%"
"07/12/2012","83.809","83.600","83.985","83.580","18.84K","0.10%"
"07/11/2012","83.728","83.540","83.760","83.250","19.05K","0.20%"
"07/10/2012","83.559","83.305","83.650","83.135","18.93K","0.25%"
"07/09/2012","83.351","83.560","83.630","83.265","23.71K","-0.25%"
"07/06/2012","83.561","82.910","83.605","82.885","30.58K","0.75%"
"07/05/2012","82.942","82.340","83.085","82.180","27.61K","1.31%"
"07/04/2012","81.872","81.915","82.370","81.895","4.86K","0.00%"
"07/03/2012","81.872","82.025","82.145","81.815","14.99K","-0.17%"
"07/02/2012","82.008","81.730","82.095","81.655","17.07K","0.31%"
"06/29/2012","81.753","82.885","82.905","81.560","40.49K","-1.51%"
"06/28/2012","83.007","82.755","83.070","82.410","31.16K","0.24%"
"06/27/2012","82.810","82.585","82.905","82.470","19.50K","0.33%"
"06/26/2012","82.539","82.650","82.865","82.430","25.70K","-0.15%"
"06/25/2012","82.662","82.490","82.825","82.460","18.42K","0.27%"
"06/22/2012","82.442","82.490","82.670","82.340","22.11K","-0.06%"
"06/21/2012","82.488","81.690","82.615","81.660","29.68K","0.92%"
"06/20/2012","81.734","81.650","81.960","81.405","42.48K","0.18%"
"06/19/2012","81.586","82.110","82.280","81.390","34.98K","-0.33%"
"06/18/2012","81.854","81.235","81.915","81.225","0.11K","0.31%"
"06/15/2012","81.605","81.905","81.935","81.255","12.98K","-0.47%"
"06/14/2012","81.988","82.125","82.295","81.805","29.76K","-0.08%"
"06/13/2012","82.057","82.445","82.590","81.920","44.60K","-0.48%"
"06/12/2012","82.449","82.630","82.755","82.350","41.58K","-0.12%"
"06/11/2012","82.548","82.000","82.650","81.720","30.96K","-0.02%"
"06/08/2012","82.562","82.280","82.945","82.270","30.05K","0.56%"
"06/07/2012","82.106","82.250","82.455","81.960","27.25K","-0.33%"
"06/06/2012","82.379","82.820","82.905","82.170","33.40K","-0.64%"
"06/05/2012","82.913","82.495","83.035","82.400","28.85K","0.30%"
"06/04/2012","82.661","82.885","83.150","82.545","26.98K","-0.38%"
"06/01/2012","82.973","83.210","83.670","82.700","57.68K","-0.19%"
"05/31/2012","83.129","83.130","83.295","82.805","31.36K","0.05%"
"05/30/2012","83.086","82.605","83.175","82.570","28.93K","0.61%"
"05/29/2012","82.581","82.415","82.710","82.130","25.45K","0.07%"
"05/28/2012","82.523","82.265","82.380","81.900","26.57K","0.00%"
"05/25/2012","82.523","82.445","82.610","82.125","10.96K","0.04%"
"05/24/2012","82.487","82.280","82.535","81.995","35.86K","0.31%"
"05/23/2012","82.235","81.905","82.360","81.710","38.28K","0.72%"
"05/22/2012","81.648","81.115","81.940","81.095","33.09K","0.51%"
"05/21/2012","81.232","81.295","81.560","81.025","28.52K","-0.24%"
"05/18/2012","81.424","81.650","81.930","81.155","31.55K","-0.14%"
"05/17/2012","81.540","81.520","81.830","81.400","47.98K","0.02%"
"05/16/2012","81.524","81.415","81.745","81.345","37.93K","0.18%"
"05/15/2012","81.380","80.825","81.450","80.630","49.13K","0.78%"
"05/14/2012","80.748","80.560","80.860","80.490","30.32K","0.43%"
"05/11/2012","80.404","80.350","80.480","80.210","21.69K","0.18%"
"05/10/2012","80.257","80.295","80.340","80.085","28.16K","0.03%"
"05/09/2012","80.232","80.005","80.415","79.975","38.81K","0.48%"
"05/08/2012","79.849","79.680","80.075","79.670","25.49K","0.17%"
"05/07/2012","79.715","79.790","80.135","79.630","21.66K","0.16%"
"05/04/2012","79.587","79.240","79.615","79.145","24.76K","0.37%"
"05/03/2012","79.293","79.260","79.535","79.150","20.46K","0.12%"
"05/02/2012","79.201","78.900","79.400","78.900","19.30K","0.34%"
"05/01/2012","78.935","78.875","79.050","78.665","13.05K","0.11%"
"04/30/2012","78.848","78.790","78.960","78.685","19.46K","0.12%"
"04/27/2012","78.757","79.210","79.335","78.720","22.82K","-0.31%"
"04/26/2012","79.001","79.100","79.170","78.900","17.26K","-0.14%"
"04/25/2012","79.111","79.295","79.415","79.075","20.42K","-0.27%"
"04/24/2012","79.326","79.495","79.535","79.185","16.02K","-0.26%"
"04/23/2012","79.536","79.375","79.775","79.320","18.45K","0.28%"
"04/20/2012","79.313","79.675","79.745","79.225","23.41K","-0.49%"
"04/19/2012","79.707","79.725","79.980","79.515","19.39K","0.04%"
"04/18/2012","79.674","79.700","80.025","79.630","15.91K","0.06%"
"04/17/2012","79.627","79.775","79.940","79.560","15.48K","-0.13%"
"04/16/2012","79.732","80.085","80.345","79.670","25.31K","-0.40%"
"04/13/2012","80.055","79.495","80.080","79.450","19.56K","0.76%"
"04/12/2012","79.449","79.920","79.955","79.365","25.77K","-0.68%"
"04/11/2012","79.993","80.105","80.150","79.710","18.55K","-0.13%"
"04/10/2012","80.098","79.955","80.245","79.775","26.10K","0.22%"
"04/09/2012","79.919","80.050","80.320","79.835","11.58K","-0.22%"
"04/06/2012","80.093","80.255","80.323","79.940","","-0.25%"
"04/05/2012","80.293","79.915","80.365","79.790","4.13K","0.43%"
"04/04/2012","79.949","79.565","80.095","79.540","22.84K","0.39%"
"04/03/2012","79.641","78.900","79.655","78.795","28.23K","0.86%"
"04/02/2012","78.963","79.035","79.275","78.920","19.34K","-0.22%"
"03/30/2012","79.138","79.225","79.225","78.870","24.07K","-0.28%"
"03/29/2012","79.357","79.275","79.530","79.125","19.45K","0.07%"
"03/28/2012","79.299","79.290","79.515","79.050","27.63K","0.10%"
"03/27/2012","79.222","79.125","79.345","78.930","20.78K","0.05%"
"03/26/2012","79.179","79.495","79.940","79.060","19.12K","-0.50%"
"03/23/2012","79.576","79.895","80.010","79.325","24.70K","-0.53%"
"03/22/2012","79.998","79.770","80.195","79.650","21.99K","0.13%"
"03/21/2012","79.896","79.805","80.070","79.530","15.86K","0.09%"
"03/20/2012","79.825","79.755","80.100","79.685","13.89K","0.14%"
"03/19/2012","79.712","80.065","80.185","79.605","20.19K","-0.03%"
"03/16/2012","79.734","80.230","80.385","79.730","","-0.50%"
"03/15/2012","80.136","80.630","80.725","80.025","22.10K","-0.50%"
"03/14/2012","80.536","80.150","80.620","80.135","38.98K","0.41%"
"03/13/2012","80.210","79.820","80.345","79.690","38.08K","0.37%"
"03/12/2012","79.913","80.025","80.160","79.845","22.99K","-0.21%"
"03/09/2012","80.084","79.225","80.095","79.195","28.39K","1.14%"
"03/08/2012","79.179","79.785","79.815","79.100","24.71K","-0.73%"
"03/07/2012","79.763","79.830","79.980","79.645","25.37K","-0.20%"
"03/06/2012","79.926","79.370","79.935","79.345","28.18K","0.71%"
"03/05/2012","79.365","79.515","79.640","79.285","19.12K","-0.12%"
"03/02/2012","79.462","78.825","79.515","78.790","30.12K","0.80%"
"03/01/2012","78.834","78.800","78.995","78.690","20.82K","0.05%"
"02/29/2012","78.794","78.220","78.930","78.120","36.18K","0.63%"
"02/28/2012","78.300","78.550","78.640","78.220","27.92K","-0.35%"
